,movie,year,imdb,metascore,votes,n_imdb
0,Gladiator,2000,8.5,67        ,1134606,85.0
1,Memento,2000,8.5,80        ,974589,85.0
2,Snatch,2000,8.3,55        ,683400,83.0
3,Requiem for a Dream,2000,8.3,68        ,662363,83.0
4,X-Men,2000,7.4,64        ,509741,74.0
5,Cast Away,2000,7.8,73        ,447496,78.0
6,American Psycho,2000,7.6,64        ,406630,76.0
7,Unbreakable,2000,7.2,62        ,293583,72.0
8,Meet the Parents,2000,7.0,73        ,283016,70.0
9,Mission: Impossible II,2000,6.1,59        ,269046,61.0
10,"O Brother, Where Art Thou?",2000,7.8,69        ,250235,78.0
11,Gone in Sixty Seconds,2000,6.5,35        ,236996,65.0
12,"Crouching Tiger, Hidden Dragon",2000,7.9,93        ,232956,79.0
13,The Patriot,2000,7.2,63        ,227986,72.0
14,Almost Famous,2000,7.9,90        ,226410,79.0
15,Pitch Black,2000,7.1,49        ,207858,71.0
16,Scary Movie,2000,6.2,48        ,205808,62.0
17,"Me, Myself & Irene",2000,6.6,49        ,202068,66.0
18,Final Destination,2000,6.7,36        ,200969,67.0
19,The Beach,2000,6.6,43        ,198587,66.0
20,Amores Perros,2000,8.1,83        ,198263,81.0
21,Traffic,2000,7.6,86        ,181047,76.0
22,Remember the Titans,2000,7.8,48        ,177002,78.0
23,What Women Want,2000,6.4,47        ,173722,64.0
24,How the Grinch Stole Christmas,2000,6.1,46        ,166103,61.0
25,Chocolat,2000,7.3,64        ,162611,73.0
26,Miss Congeniality,2000,6.2,43        ,157683,62.0
27,Charlie's Angels,2000,5.5,52        ,157118,55.0
28,Chicken Run,2000,7.0,88        ,156098,70.0
29,High Fidelity,2000,7.5,79        ,153856,75.0
30,Battle Royale,2000,7.7,81        ,152700,77.0
31,Erin Brockovich,2000,7.3,73        ,150724,73.0
32,The Emperor's New Groove,2000,7.3,70        ,148818,73.0
33,Road Trip,2000,6.5,55        ,143782,65.0
34,The Perfect Storm,2000,6.4,59        ,142327,64.0
35,"Dude, Where's My Car?",2000,5.5,30        ,124913,55.0
36,Hollow Man,2000,5.7,24        ,110677,57.0
37,Scream 3,2000,5.5,56        ,108739,55.0
38,Billy Elliot,2000,7.7,74        ,108234,77.0
39,The 6th Day,2000,5.9,49        ,107063,59.0
40,Shanghai Noon,2000,6.6,77        ,106827,66.0
41,What Lies Beneath,2000,6.6,51        ,106229,66.0
42,Pay It Forward,2000,7.2,40        ,103997,72.0
43,The Whole Nine Yards,2000,6.7,47        ,98574,67.0
44,Coyote Ugly,2000,5.6,27        ,97627,56.0
45,Men of Honor,2000,7.2,56        ,97327,72.0
46,In the Mood for Love,2000,8.1,85        ,96646,81.0
47,The Family Man,2000,6.7,42        ,93469,67.0
48,Frequency,2000,7.4,67        ,90576,74.0
49,Dancer in the Dark,2000,8.0,61        ,88723,80.0
50,Bedazzled,2000,6.0,49        ,88227,60.0
51,Little Nicky,2000,5.3,38        ,87794,53.0
52,The Cell,2000,6.3,40        ,86355,63.0
53,Bring It On,2000,6.0,52        ,77382,60.0
54,Finding Forrester,2000,7.3,62        ,77065,73.0
55,Malèna,2000,7.5,54        ,75001,75.0
56,Big Momma's House,2000,5.1,33        ,73133,51.0
57,Battlefield Earth,2000,2.4,9        ,70247,24.0
58,U-571,2000,6.6,62        ,70211,66.0
59,The Road to El Dorado,2000,6.9,51        ,69703,69.0
60,Space Cowboys,2000,6.4,73        ,65743,64.0
61,Mission to Mars,2000,5.6,34        ,65090,56.0
62,Shaft,2000,5.9,50        ,63035,59.0
63,Romeo Must Die,2000,6.1,52        ,61238,61.0
64,Wonder Boys,2000,7.4,73        ,57406,74.0
65,The Gift,2000,6.7,62        ,56537,67.0
66,Titan A.E.,2000,6.6,48        ,55039,66.0
67,Vertical Limit,2000,5.9,48        ,53462,59.0
68,The Crimson Rivers,2000,6.9,49        ,52617,69.0
69,The Replacements,2000,6.5,30        ,52411,65.0
70,Proof of Life,2000,6.2,45        ,51770,62.0
71,Red Planet,2000,5.7,34        ,51013,57.0
72,Best in Show,2000,7.5,78        ,49621,75.0
73,The Legend of Bagger Vance,2000,6.7,47        ,49159,67.0
74,Thirteen Days,2000,7.3,67        ,48916,73.0
75,Sexy Beast,2000,7.3,79        ,47820,73.0
76,Quills,2000,7.3,70        ,47764,73.0
77,Keeping the Faith,2000,6.4,60        ,46973,64.0
78,Boiler Room,2000,7.0,63        ,44930,70.0
79,Dinosaur,2000,6.5,56        ,44259,65.0
80,Nine Queens,2000,7.9,80        ,43706,79.0
81,Nutty Professor II: The Klumps,2000,4.4,38        ,43683,44.0
82,Rules of Engagement,2000,6.4,45        ,40357,64.0
83,28 Days,2000,6.0,46        ,38363,60.0
84,The Kid,2000,6.1,45        ,36878,61.0
85,Shadow of the Vampire,2000,6.9,71        ,36573,69.0
86,Ginger Snaps,2000,6.8,70        ,36413,68.0
87,Tigerland,2000,7.0,55        ,35417,70.0
88,Reindeer Games,2000,5.7,37        ,33939,57.0
89,Small Time Crooks,2000,6.7,69        ,33637,67.0
90,Chopper,2000,7.2,65        ,33626,72.0
91,Book of Shadows: Blair Witch 2,2000,4.0,15        ,32388,40.0
92,Next Friday,2000,6.1,41        ,31888,61.0
93,Nurse Betty,2000,6.2,69        ,31298,62.0
94,102 Dalmatians,2000,4.9,35        ,29857,49.0
95,Get Carter,2000,5.1,24        ,29624,51.0
96,Dracula 2000,2000,4.9,26        ,29351,49.0
97,Dungeons & Dragons,2000,3.7,14        ,29215,37.0
98,Where the Heart Is,2000,6.8,30        ,29211,68.0
99,The Way of the Gun,2000,6.7,49        ,29177,67.0
100,The Skulls,2000,5.6,24        ,28762,56.0
101,The Art of War,2000,5.7,30        ,26735,57.0
102,Vampire Hunter D: Bloodlust,2000,7.7,62        ,25457,77.0
103,You Can Count on Me,2000,7.7,85        ,25131,77.0
104,Pollock,2000,7.0,77        ,24823,70.0
105,Loser,2000,5.3,35        ,24448,53.0
106,The Watcher,2000,5.3,22        ,23635,53.0
107,Autumn in New York,2000,5.6,24        ,22299,56.0
108,Before Night Falls,2000,7.3,85        ,22186,73.0
109,Joint Security Area,2000,7.9,58        ,22034,79.0
110,The Contender,2000,7.0,59        ,21516,70.0
111,Brother,2000,7.2,47        ,20005,72.0
112,Under Suspicion,2000,6.5,43        ,19838,65.0
113,The Million Dollar Hotel,2000,5.9,25        ,19477,59.0
114,State and Main,2000,6.8,75        ,19142,68.0
115,Together,2000,7.5,84        ,18816,75.0
116,Bounce,2000,5.7,52        ,18666,57.0
117,In July,2000,7.8,71        ,18537,78.0
118,My Dog Skip,2000,7.0,61        ,17823,70.0
119,The Adventures of Rocky & Bullwinkle,2000,4.2,36        ,17801,42.0
120,The Flintstones in Viva Rock Vegas,2000,3.6,27        ,17724,36.0
121,Highlander: Endgame,2000,4.6,21        ,17691,46.0
122,Return to Me,2000,6.9,54        ,17660,69.0
123,The Yards,2000,6.4,58        ,17644,64.0
124,Center Stage,2000,6.7,52        ,16985,67.0
125,Flickering Lights,2000,7.7,47        ,16666,77.0
126,Dr. T & the Women,2000,4.6,64        ,16453,46.0
127,Saving Grace,2000,6.9,62        ,16366,69.0
128,Love & Basketball,2000,7.2,70        ,15950,72.0
129,Supernova,2000,4.8,19        ,15762,48.0
130,Yi Yi,2000,8.1,93        ,15592,81.0
131,Rape Me,2000,4.5,35        ,15542,45.0
132,Songs from the Second Floor,2000,7.7,76        ,14791,77.0
133,The Tigger Movie,2000,6.3,53        ,14752,63.0
134,Boys and Girls,2000,5.4,29        ,14691,54.0
135,Urban Legends: Final Cut,2000,4.2,16        ,14185,42.0
136,The Dish,2000,7.2,74        ,13763,72.0
137,The Princess and the Warrior,2000,7.6,64        ,13513,76.0
138,Gossip,2000,5.9,31        ,13302,59.0
139,The Man Who Cried,2000,6.2,40        ,13274,62.0
140,Down to You,2000,4.9,13        ,13128,49.0
141,Bless the Child,2000,5.1,17        ,12914,51.0
142,Ready to Rumble,2000,5.3,23        ,12547,53.0
143,Drowning Mona,2000,5.6,25        ,12355,56.0
144,Cecil B. DeMented,2000,6.2,57        ,12193,62.0
145,All the Pretty Horses,2000,5.8,55        ,12113,58.0
146,Italian for Beginners,2000,7.1,77        ,11983,71.0
147,Gangster No. 1,2000,6.8,60        ,11823,68.0
148,Animal Factory,2000,6.6,65        ,11514,66.0
149,The Ladies Man,2000,5.1,22        ,11429,51.0
150,The Isle,2000,7.0,61        ,11179,70.0
151,Blood: The Last Vampire,2000,6.7,44        ,10948,67.0
152,Hanging Up,2000,4.8,33        ,10912,48.0
153,Anatomy,2000,6.1,33        ,10761,61.0
154,Werckmeister Harmonies,2000,8.2,92        ,10387,82.0
155,Snow Day,2000,5.0,34        ,10265,50.0
156,The Next Best Thing,2000,4.7,25        ,9940,47.0
157,Code Unknown,2000,7.2,74        ,9866,72.0
158,Lost Souls,2000,4.8,16        ,9861,48.0
159,Bait,2000,5.8,39        ,9720,58.0
160,Rugrats in Paris: The Movie,2000,6.2,62        ,9399,62.0
161,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92        ,1416063,88.0
162,A Beautiful Mind,2001,8.2,72        ,721600,82.0
163,"Monsters, Inc.",2001,8.1,78        ,689662,81.0
164,Donnie Darko,2001,8.1,88        ,664893,81.0
165,Amélie,2001,8.3,69        ,616809,83.0
166,Shrek,2001,7.9,84        ,526416,79.0
167,Harry Potter and the Sorcerer's Stone,2001,7.6,64        ,525666,76.0
168,Spirited Away,2001,8.6,96        ,511137,86.0
169,Ocean's Eleven,2001,7.8,74        ,450076,78.0
170,Training Day,2001,7.7,69        ,339659,77.0
171,Black Hawk Down,2001,7.7,74        ,324222,77.0
172,The Fast and the Furious,2001,6.7,58        ,305230,67.0
173,The Others,2001,7.6,74        ,300249,76.0
174,Pearl Harbor,2001,6.1,44        ,281440,61.0
175,Mulholland Drive,2001,8.0,83        ,274789,80.0
176,The Mummy Returns,2001,6.3,48        ,271928,63.0
177,A.I. Artificial Intelligence,2001,7.1,65        ,264654,71.0
178,Jurassic Park III,2001,5.9,42        ,250794,59.0
179,Moulin Rouge!,2001,7.6,66        ,243596,76.0
180,The Royal Tenenbaums,2001,7.6,76        ,234509,76.0
181,Hannibal,2001,6.8,57        ,227689,68.0
182,Vanilla Sky,2001,6.9,45        ,224680,69.0
183,Zoolander,2001,6.6,61        ,221839,66.0
184,American Pie 2,2001,6.4,43        ,217223,64.0
185,Blow,2001,7.6,52        ,216266,76.0
186,Enemy at the Gates,2001,7.6,53        ,213328,76.0
187,Bridget Jones's Diary,2001,6.7,66        ,195635,67.0
188,Planet of the Apes,2001,5.7,50        ,195267,57.0
189,Rush Hour 2,2001,6.6,48        ,177086,66.0
190,Lara Croft: Tomb Raider,2001,5.8,33        ,176722,58.0
191,Swordfish,2001,6.5,32        ,164679,65.0
192,K-PAX,2001,7.4,49        ,162402,74.0
193,Legally Blonde,2001,6.2,59        ,152285,62.0
194,A Knight's Tale,2001,6.9,56        ,150916,69.0
195,Jay and Silent Bob Strike Back,2001,6.9,51        ,136875,69.0
196,From Hell,2001,6.8,54        ,134964,68.0
197,Scary Movie 2,2001,5.3,29        ,132239,53.0
198,I Am Sam,2001,7.6,28        ,131835,76.0
199,Spy Game,2001,7.1,63        ,130422,71.0
200,Shallow Hal,2001,5.9,48        ,117434,59.0
201,The Score,2001,6.8,71        ,109447,68.0
202,Evolution,2001,6.1,40        ,109325,61.0
203,The Princess Diaries,2001,6.3,52        ,108155,63.0
204,Ghost World,2001,7.4,88        ,103882,74.0
205,Y Tu Mamá También,2001,7.7,88        ,101040,77.0
206,Rat Race,2001,6.4,52        ,99565,64.0
207,Jeepers Creepers,2001,6.2,49        ,98671,62.0
208,Serendipity,2001,6.9,52        ,94534,69.0
209,Spy Kids,2001,5.5,71        ,94332,55.0
210,The Mexican,2001,6.1,43        ,93960,61.0
211,The Man Who Wasn't There,2001,7.6,73        ,93334,76.0
212,Behind Enemy Lines,2001,6.4,49        ,92416,64.0
213,Not Another Teen Movie,2001,5.7,32        ,87302,57.0
214,Lagaan: Once Upon a Time in India,2001,8.1,84        ,86857,81.0
215,Atlantis: The Lost Empire,2001,6.8,52        ,85772,68.0
216,Ali,2001,6.8,65        ,85251,68.0
217,Super Troopers,2001,7.1,48        ,85237,71.0
218,The Experiment,2001,7.7,60        ,84908,77.0
219,The One,2001,5.9,25        ,83180,59.0
220,Sweet November,2001,6.7,27        ,77029,67.0
221,Final Fantasy: The Spirits Within,2001,6.4,49        ,76512,64.0
222,Monster's Ball,2001,7.1,69        ,76379,71.0
223,Kate & Leopold,2001,6.4,44        ,71137,64.0
224,Thir13en Ghosts,2001,5.6,30        ,71036,56.0
225,Gosford Park,2001,7.3,90        ,70570,73.0
226,Frailty,2001,7.3,64        ,67857,73.0
227,The Wedding Planner,2001,5.3,33        ,67846,53.0
228,Along Came a Spider,2001,6.3,42        ,64852,63.0
229,Shaolin Soccer,2001,7.3,68        ,64420,73.0
230,The Last Castle,2001,6.9,43        ,62050,69.0
231,Bandits,2001,6.5,60        ,60652,65.0
232,Joy Ride,2001,6.6,75        ,57997,66.0
233,Kiss of the Dragon,2001,6.6,58        ,56541,66.0
234,Brotherhood of the Wolf,2001,7.1,57        ,56530,71.0
235,Waking Life,2001,7.8,82        ,54866,78.0
236,The Devil's Backbone,2001,7.5,78        ,54519,75.0
237,Save the Last Dance,2001,6.2,53        ,52134,62.0
238,The Animal,2001,4.8,43        ,51594,48.0
239,Cats & Dogs,2001,5.1,47        ,50738,51.0
240,America's Sweethearts,2001,5.7,44        ,50727,57.0
241,Original Sin,2001,6.0,33        ,48712,60.0
242,The Majestic,2001,6.9,27        ,48262,69.0
243,Session 9,2001,6.5,58        ,47963,65.0
244,How High,2001,6.3,29        ,47815,63.0
245,The Pledge,2001,6.8,71        ,47306,68.0
246,Heartbreakers,2001,6.2,47        ,47284,62.0
247,Wet Hot American Summer,2001,6.7,42        ,47247,67.0
248,Ichi the Killer,2001,7.1,55        ,46629,71.0
249,Ghosts of Mars,2001,4.9,35        ,46459,49.0
250,The Piano Teacher,2001,7.5,79        ,46051,75.0
251,Joe Dirt,2001,5.9,20        ,45571,59.0
252,15 Minutes,2001,6.1,34        ,45248,61.0
253,Formula 51,2001,6.3,23        ,45033,63.0
254,Don't Say a Word,2001,6.3,38        ,43947,63.0
255,Jason X,2001,4.4,25        ,43709,44.0
256,Freddy Got Fingered,2001,4.5,13        ,42393,45.0
257,Life as a House,2001,7.5,45        ,40972,75.0
258,No Man's Land,2001,8.0,84        ,40676,80.0
259,3000 Miles to Graceland,2001,5.9,21        ,40543,59.0
260,Dr. Dolittle 2,2001,4.7,49        ,37561,47.0
261,Rock Star,2001,6.2,54        ,37394,62.0
262,Cowboy Bebop: The Movie,2001,7.9,61        ,36638,79.0
263,Driven,2001,4.5,29        ,36471,45.0
264,Saving Silverman,2001,5.9,22        ,35594,59.0
265,The Curse of the Jade Scorpion,2001,6.8,52        ,34713,68.0
266,In the Bedroom,2001,7.4,86        ,34459,74.0
267,Black Knight,2001,4.8,32        ,34015,48.0
268,The Believer,2001,7.2,75        ,33410,72.0
269,Hearts in Atlantis,2001,6.9,55        ,32965,69.0
270,Wasabi,2001,6.7,53        ,32775,67.0
271,Mean Machine,2001,6.5,45        ,32069,65.0
272,Sex and Lucia,2001,7.2,65        ,31958,72.0
273,Bully,2001,7.0,45        ,31474,70.0
274,The Shipping News,2001,6.8,47        ,30262,68.0
275,Captain Corelli's Mandolin,2001,5.9,36        ,30174,59.0
276,Heist,2001,6.5,66        ,30025,65.0
277,Exit Wounds,2001,5.5,39        ,29388,55.0
278,Hedwig and the Angry Inch,2001,7.8,85        ,28420,78.0
279,Osmosis Jones,2001,6.3,57        ,28206,63.0
280,The Glass House,2001,5.8,34        ,27939,58.0
281,Bubble Boy,2001,5.6,41        ,27633,56.0
282,One Night at McCool's,2001,6.1,46        ,26947,61.0
283,Antitrust,2001,6.1,31        ,26825,61.0
284,Jimmy Neutron: Boy Genius,2001,6.0,65        ,26822,60.0
285,The Tailor of Panama,2001,6.1,66        ,25599,61.0
286,Hardball,2001,6.4,48        ,25272,64.0
287,Riding in Cars with Boys,2001,6.5,43        ,24464,65.0
288,Birthday Girl,2001,6.1,51        ,22805,61.0
289,Domestic Disturbance,2001,5.5,29        ,22715,55.0
290,Crazy/Beautiful,2001,6.5,61        ,22568,65.0
291,Valentine,2001,4.8,18        ,22060,48.0
292,Buffalo Soldiers,2001,6.9,56        ,21750,69.0
293,Someone Like You...,2001,6.1,32        ,21577,61.0
294,Crocodile Dundee in Los Angeles,2001,4.8,37        ,21498,48.0
295,Monsoon Wedding,2001,7.4,77        ,21383,74.0
296,Impostor,2001,6.2,33        ,21188,62.0
297,Knockaround Guys,2001,6.1,30        ,20858,61.0
298,Angel Eyes,2001,5.6,39        ,20646,56.0
299,Glitter,2001,2.2,14        ,20327,22.0
300,Down to Earth,2001,5.4,32        ,20091,54.0
301,Josie and the Pussycats,2001,5.4,47        ,19978,54.0
302,Enigma,2001,6.4,64        ,18764,64.0
303,Lost and Delirious,2001,7.0,53        ,18383,70.0
304,Metropolis,2001,7.3,75        ,18383,73.0
305,O,2001,6.2,53        ,18141,62.0
306,Millennium Actress,2001,7.9,70        ,18015,79.0
307,Lantana,2001,7.3,84        ,17359,73.0
308,Tape,2001,7.3,71        ,17091,73.0
309,Just Visiting,2001,5.8,38        ,16538,58.0
310,Get Over It,2001,5.8,52        ,16516,58.0
311,Human Nature,2001,6.4,56        ,16333,64.0
312,Tomcats,2001,5.3,15        ,16219,53.0
313,Storytelling,2001,6.9,50        ,16094,69.0
314,The Son's Room,2001,7.4,73        ,15968,74.0
315,Made,2001,6.4,62        ,15822,64.0
316,Iris,2001,7.1,76        ,15798,71.0
317,Out Cold,2001,6.3,22        ,15391,63.0
318,Monkeybone,2001,4.7,40        ,15363,47.0
319,The Closet,2001,7.1,72        ,15175,71.0
320,Kissing Jessica Stein,2001,6.6,72        ,14849,66.0
321,Summer Catch,2001,5.0,21        ,13886,50.0
322,What's the Worst That Could Happen?,2001,5.5,37        ,13619,55.0
323,Pulse,2001,6.6,70        ,13607,66.0
324,The Musketeer,2001,4.7,27        ,13371,47.0
325,Son of the Bride,2001,7.9,68        ,13129,79.0
326,The Lord of the Rings: The Two Towers,2002,8.7,87        ,1264840,87.0
327,Catch Me If You Can,2002,8.1,75        ,658450,81.0
328,City of God,2002,8.6,79        ,608284,86.0
329,Spider-Man,2002,7.3,73        ,607589,73.0
330,The Pianist,2002,8.5,85        ,593064,85.0
331,Star Wars: Episode II - Attack of the Clones,2002,6.6,54        ,541870,66.0
332,The Bourne Identity,2002,7.9,68        ,455914,79.0
333,Harry Potter and the Chamber of Secrets,2002,7.4,63        ,455010,74.0
334,Minority Report,2002,7.7,80        ,446550,77.0
335,Ice Age,2002,7.5,60        ,373110,75.0
336,Gangs of New York,2002,7.5,72        ,353798,75.0
337,28 Days Later...,2002,7.6,73        ,330998,76.0
338,Signs,2002,6.7,59        ,300017,67.0
339,Men in Black II,2002,6.1,49        ,293837,61.0
340,Equilibrium,2002,7.5,33        ,285125,75.0
341,The Ring,2002,7.1,57        ,284483,71.0
342,The Transporter,2002,6.8,51        ,259616,68.0
343,Insomnia,2002,7.2,78        ,243216,72.0
344,Phone Booth,2002,7.1,56        ,228100,71.0
345,Panic Room,2002,6.8,65        ,227382,68.0
346,Resident Evil,2002,6.7,33        ,222562,67.0
347,Red Dragon,2002,7.2,60        ,222267,72.0
348,Road to Perdition,2002,7.7,72        ,220033,77.0
349,8 Mile,2002,7.1,77        ,214810,71.0
350,Chicago,2002,7.2,82        ,192156,72.0
351,Die Another Day,2002,6.1,56        ,184160,61.0
352,A Walk to Remember,2002,7.4,35        ,180301,74.0
353,Blade II,2002,6.7,52        ,177657,67.0
354,Austin Powers in Goldmember,2002,6.2,62        ,176581,62.0
355,Hero,2002,7.9,85        ,160986,79.0
356,xXx,2002,5.9,48        ,160025,59.0
357,25th Hour,2002,7.7,67        ,158938,77.0
358,Adaptation.,2002,7.7,83        ,158739,77.0
359,About a Boy,2002,7.1,75        ,154438,71.0
360,Lilo & Stitch,2002,7.2,73        ,138466,72.0
361,Bowling for Columbine,2002,8.0,72        ,131241,80.0
362,Punch-Drunk Love,2002,7.3,78        ,124518,73.0
363,Mr. Deeds,2002,5.8,24        ,121693,58.0
364,Reign of Fire,2002,6.2,39        ,115701,62.0
365,We Were Soldiers,2002,7.2,65        ,115624,72.0
366,The Count of Monte Cristo,2002,7.8,61        ,114903,78.0
367,The Scorpion King,2002,5.5,45        ,114551,55.0
368,About Schmidt,2002,7.2,85        ,114330,72.0
369,The Hours,2002,7.6,80        ,112119,76.0
370,My Big Fat Greek Wedding,2002,6.6,62        ,110238,66.0
371,The Time Machine,2002,5.9,42        ,109926,59.0
372,John Q,2002,7.1,30        ,109911,71.0
373,Infernal Affairs,2002,8.1,75        ,107749,81.0
374,One Hour Photo,2002,6.8,64        ,104662,68.0
375,Irreversible,2002,7.4,51        ,99186,74.0
376,Bend It Like Beckham,2002,6.7,66        ,96452,67.0
377,Van Wilder: Party Liaison,2002,6.4,26        ,95302,64.0
378,Two Weeks Notice,2002,6.1,42        ,94184,61.0
379,Talk to Her,2002,8.0,86        ,93967,80.0
380,The Sum of All Fears,2002,6.4,45        ,93266,64.0
381,Sweet Home Alabama,2002,6.2,45        ,91663,62.0
382,Treasure Planet,2002,7.1,60        ,84154,71.0
383,Ghost Ship,2002,5.5,28        ,82821,55.0
384,The Hot Chick,2002,5.5,29        ,81536,55.0
385,Scooby-Doo,2002,5.0,35        ,81437,50.0
386,Confessions of a Dangerous Mind,2002,7.1,67        ,76567,71.0
387,Analyze That,2002,5.9,37        ,75286,59.0
388,Maid in Manhattan,2002,5.1,45        ,75180,51.0
389,Secretary,2002,7.0,63        ,74281,70.0
390,Jackass: The Movie,2002,6.6,42        ,73844,66.0
391,Solaris,2002,6.2,65        ,72550,62.0
392,Frida,2002,7.4,61        ,70480,74.0
393,Unfaithful,2002,6.7,63        ,70278,67.0
394,The Tuxedo,2002,5.3,30        ,69568,53.0
395,The Mothman Prophecies,2002,6.5,52        ,68764,65.0
396,Cabin Fever,2002,5.6,56        ,67604,56.0
397,Collateral Damage,2002,5.5,33        ,66260,55.0
398,40 Days and 40 Nights,2002,5.6,53        ,65481,56.0
399,Star Trek: Nemesis,2002,6.4,51        ,64680,64.0
400,Changing Lanes,2002,6.5,69        ,61714,65.0
401,Windtalkers,2002,6.0,51        ,60266,60.0
402,Showtime,2002,5.5,32        ,55962,55.0
403,S1m0ne,2002,6.1,49        ,55086,61.0
404,K-19: The Widowmaker,2002,6.7,58        ,53495,67.0
405,Spirit: Stallion of the Cimarron,2002,7.1,52        ,53255,71.0
406,Sympathy for Mr. Vengeance,2002,7.7,56        ,53019,77.0
407,Spy Kids 2: Island of Lost Dreams,2002,5.1,66        ,51316,51.0
408,The Sweetest Thing,2002,5.1,32        ,50010,51.0
409,Queen of the Damned,2002,5.3,30        ,47754,53.0
410,Eight Legged Freaks,2002,5.4,53        ,47577,54.0
411,Murder by Numbers,2002,6.1,50        ,47534,61.0
412,Hart's War,2002,6.3,49        ,47008,63.0
413,The Rules of Attraction,2002,6.7,50        ,46620,67.0
414,I Spy,2002,5.4,35        ,44829,54.0
415,Orange County,2002,6.2,48        ,43788,62.0
416,Stuart Little 2,2002,5.5,66        ,42495,55.0
417,Bad Company,2002,5.6,37        ,42098,56.0
418,Bubba Ho-Tep,2002,7.1,57        ,41676,71.0
419,The Santa Clause 2,2002,5.6,48        ,41247,56.0
420,Kung Pow: Enter the Fist,2002,6.2,14        ,40424,62.0
421,The Good Girl,2002,6.5,71        ,40389,65.0
422,Far from Heaven,2002,7.4,84        ,39502,74.0
423,Lilya 4-Ever,2002,7.9,82        ,38507,79.0
424,In America,2002,7.8,76        ,38326,78.0
425,Blood Work,2002,6.4,64        ,37672,64.0
426,Dirty Pretty Things,2002,7.4,78        ,37433,74.0
427,L'auberge espagnole,2002,7.3,65        ,36707,73.0
428,Whale Rider,2002,7.6,80        ,36579,76.0
429,Death to Smoochy,2002,6.4,38        ,36348,64.0
430,Narc,2002,7.2,70        ,35975,72.0
431,Crossroads,2002,3.4,27        ,35813,34.0
432,Ju-on: The Grudge,2002,6.7,48        ,35451,67.0
433,Enough,2002,5.7,25        ,34193,57.0
434,High Crimes,2002,6.3,48        ,33962,63.0
435,Spun,2002,6.8,41        ,33957,68.0
436,Dragonfly,2002,6.1,25        ,33873,61.0
437,Spider,2002,6.8,83        ,32595,68.0
438,Big Fat Liar,2002,5.4,36        ,31391,54.0
439,Undercover Brother,2002,5.8,69        ,31188,58.0
440,The New Guy,2002,5.9,24        ,30850,59.0
441,Drumline,2002,5.7,63        ,30795,57.0
442,Femme Fatale,2002,6.3,59        ,30688,63.0
443,Halloween: Resurrection,2002,4.1,19        ,30442,41.0
444,Igby Goes Down,2002,7.0,72        ,30323,70.0
445,The Four Feathers,2002,6.5,49        ,30113,65.0
446,May,2002,6.7,58        ,29449,67.0
447,24 Hour Party People,2002,7.4,85        ,29282,74.0
448,Antwone Fisher,2002,7.3,62        ,29215,73.0
449,The Rookie,2002,7.0,72        ,28809,70.0
450,Boat Trip,2002,4.9,18        ,28388,49.0
451,The Salton Sea,2002,7.2,41        ,27956,72.0
452,Blue Crush,2002,5.7,61        ,27694,57.0
453,White Oleander,2002,7.2,61        ,27313,72.0
454,Barbershop,2002,6.3,66        ,26665,63.0
455,The Eye,2002,6.7,66        ,26202,67.0
456,8 Women,2002,7.1,64        ,25939,71.0
457,Undisputed,2002,6.2,58        ,25509,62.0
458,The Quiet American,2002,7.1,84        ,25326,71.0
459,Rabbit-Proof Fence,2002,7.5,80        ,25159,75.0
460,The Magdalene Sisters,2002,7.8,83        ,23921,78.0
461,Hollywood Ending,2002,6.6,46        ,23704,66.0
462,Rollerball,2002,3.0,14        ,23381,30.0
463,City by the Sea,2002,6.1,50        ,22665,61.0
464,Snow Dogs,2002,5.1,29        ,22468,51.0
465,Friday After Next,2002,5.8,35        ,22409,58.0
466,The Adventures of Pluto Nash,2002,3.8,12        ,21755,38.0
467,Heaven,2002,7.1,68        ,21676,71.0
468,Bloody Sunday,2002,7.7,90        ,21379,77.0
469,Life or Something Like It,2002,5.8,31        ,21216,58.0
470,Trapped,2002,6.2,42        ,21147,62.0
471,The Importance of Being Earnest,2002,6.9,60        ,20402,69.0
472,The Twilight Samurai,2002,8.1,82        ,19727,81.0
473,Eight Crazy Nights,2002,5.3,23        ,19576,53.0
474,The Man Without a Past,2002,7.7,84        ,19558,77.0
475,Tuck Everlasting,2002,6.7,66        ,19424,67.0
476,The Master of Disguise,2002,3.3,12        ,19413,33.0
477,Below,2002,6.2,55        ,19236,62.0
478,Dark Blue,2002,6.6,57        ,18681,66.0
479,Big Trouble,2002,6.5,47        ,18498,65.0
480,Feardotcom,2002,3.3,16        ,18143,33.0
481,Darkness,2002,5.4,15        ,17697,54.0
482,Ballistic: Ecks vs. Sever,2002,3.6,19        ,17585,36.0
483,Swimfan,2002,5.0,29        ,17455,50.0
484,He Loves Me... He Loves Me Not,2002,7.2,63        ,17321,72.0
485,Like Mike,2002,5.2,47        ,16739,52.0
486,Divine Secrets of the Ya-Ya Sisterhood,2002,6.0,48        ,16474,60.0
487,Russian Ark,2002,7.4,86        ,16324,74.0
488,Gerry,2002,6.2,54        ,16289,62.0
489,Roger Dodger,2002,7.0,75        ,16008,70.0
490,Serving Sara,2002,5.3,18        ,15399,53.0
491,The Emperor's Club,2002,6.9,49        ,15380,69.0
492,Peter Pan II: Return to Neverland,2002,5.8,49        ,15347,58.0
493,Distant,2002,7.7,84        ,14718,77.0
494,Dolls,2002,7.7,71        ,14441,77.0
